epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,291.109,0.73033,0.58614,1.19871,0.95688,0.97971,0.99147,0.85314,0.62227,0.41504,1.07518,0.00055945,0.00055945,0.00055945
91,294.442,0.71836,0.56846,1.20073,0.953,0.96025,0.98942,0.84225,0.63483,0.40418,1.10257,0.0005545,0.0005545,0.0005545
92,297.791,0.73149,0.58365,1.20326,0.9597,0.96252,0.97817,0.81462,0.67415,0.43913,1.13533,0.00054955,0.00054955,0.00054955
93,301.195,0.679,0.5592,1.16348,0.97866,0.97681,0.98257,0.82728,0.66415,0.42934,1.12855,0.0005446,0.0005446,0.0005446
94,304.493,0.73251,0.5995,1.19371,0.9716,0.96595,0.97856,0.83236,0.66325,0.42128,1.10821,0.00053965,0.00053965,0.00053965
95,307.821,0.71525,0.60335,1.19292,0.98016,0.97911,0.98302,0.85083,0.61204,0.40023,1.07988,0.0005347,0.0005347,0.0005347
96,311.166,0.73082,0.60298,1.20698,0.95161,0.9761,0.99383,0.85084,0.63518,0.3838,1.07914,0.00052975,0.00052975,0.00052975
97,314.329,0.69448,0.53536,1.18667,0.95699,0.97886,0.99433,0.84379,0.62604,0.41167,1.07627,0.0005248,0.0005248,0.0005248
98,317.723,0.70477,0.58268,1.20741,0.95648,0.98237,0.99252,0.83126,0.64807,0.41886,1.08413,0.00051985,0.00051985,0.00051985
99,320.878,0.69968,0.56934,1.19007,0.9562,0.92929,0.99014,0.83661,0.60891,0.41646,1.0669,0.0005149,0.0005149,0.0005149
100,323.96,0.67703,0.56332,1.17777,0.97761,0.96662,0.995,0.85482,0.59139,0.3874,1.06719,0.00050995,0.00050995,0.00050995
101,327.23,0.71881,0.5811,1.20283,0.96403,0.96796,0.98801,0.845,0.62778,0.40074,1.09473,0.000505,0.000505,0.000505
102,330.371,0.68921,0.60503,1.18066,0.97792,0.97097,0.99253,0.84552,0.64903,0.37476,1.10079,0.00050005,0.00050005,0.00050005
103,333.406,0.67948,0.558,1.16396,0.97871,0.97749,0.99161,0.82372,0.6646,0.38741,1.14416,0.0004951,0.0004951,0.0004951
104,336.562,0.65699,0.53224,1.17551,0.94852,0.96819,0.98805,0.82486,0.66236,0.41806,1.13089,0.00049015,0.00049015,0.00049015
105,339.589,0.68859,0.57172,1.18178,0.97975,0.96307,0.98929,0.8376,0.61618,0.40258,1.05799,0.0004852,0.0004852,0.0004852
106,342.667,0.69829,0.57442,1.18902,0.983,0.97794,0.98616,0.84888,0.60797,0.40907,1.04406,0.00048025,0.00048025,0.00048025
107,346.011,0.68809,0.56594,1.16601,0.98356,0.97078,0.98677,0.8338,0.64436,0.42392,1.08948,0.0004753,0.0004753,0.0004753
108,349.187,0.6829,0.55244,1.18374,0.97563,0.97131,0.99148,0.84826,0.59375,0.41095,1.05376,0.00047035,0.00047035,0.00047035
109,352.141,0.66721,0.54155,1.16079,0.96494,0.93828,0.98891,0.83059,0.67659,0.42317,1.13602,0.0004654,0.0004654,0.0004654
110,355.308,0.66204,0.55104,1.14719,0.95978,0.9418,0.98265,0.84063,0.62443,0.44733,1.10745,0.00046045,0.00046045,0.00046045
111,358.409,0.68909,0.57542,1.18413,0.96853,0.94285,0.98355,0.80313,0.70782,0.45598,1.18022,0.0004555,0.0004555,0.0004555
